unserved_medicaid/km2,unserved_commercial/km2,Cholesterol screening among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years,Physical health not good for >=14 days among adults aged >=18 years
0.0,21.9,,,,,
0.0,12.0,,,,,
0.0,12.3,,,,,
4.7,0.0,,,,,
2.5,2.2,,,,,
0.3,60.5,89.0,76.8,70.3,77.6,10.1
1.4,2.6,86.4,79.2,61.9,76.2,12.7
0.0,0.6,85.3,78.5,61.4,75.5,12.5
2.9,12.1,86.8,77.1,66.5,75.5,10.9
3.0,10.5,85.2,78.7,61.6,75.7,12.5
0.0,6.9,86.1,79.8,66.1,82.6,13.7
0.0,23.4,87.9,77.9,68.3,76.9,9.5
0.0,0.5,87.6,81.7,66.3,80.8,12.7
0.0,10.2,90.1,76.2,75.6,78.3,9.0
0.0,18.6,87.8,78.8,68.7,80.2,10.8
17.2,289.5,88.8,80.0,70.5,81.0,10.4
0.0,25.6,89.5,78.7,75.8,83.0,10.3
31.6,0.0,79.2,78.3,48.3,78.6,16.8
5762.6,0.0,81.0,70.4,48.7,75.5,15.4
5263.4,0.0,82.1,73.3,49.8,77.2,15.8
5317.1,0.0,81.5,70.1,52.0,75.8,14.0
0.0,6.5,87.9,78.6,66.6,78.3,11.4
1.8,9.1,88.3,77.5,68.2,77.6,10.3
1.8,6.5,83.7,76.4,60.2,78.2,12.6
0.0,18.8,85.8,78.7,63.0,79.6,12.2
651.8,0.0,80.0,76.8,51.9,78.3,14.7
2.6,20.3,86.1,78.8,64.1,79.6,11.8
0.0,110.8,89.1,75.6,74.4,77.7,9.1
0.0,127.0,88.4,75.4,70.0,77.6,10.1
4677.4,0.0,82.0,75.4,47.9,77.4,17.4
17320.9,0.0,78.9,70.4,44.2,75.1,17.5
10.4,0.0,80.7,78.0,52.9,79.5,14.7
499.7,0.0,76.2,75.9,43.6,77.6,16.9
2401.8,0.0,76.7,75.1,43.8,77.8,16.7
2854.3,0.0,73.7,75.0,38.6,77.4,17.4
6928.2,0.0,80.5,71.8,46.5,75.6,16.9
173.0,0.0,79.3,77.9,47.2,78.3,17.1
445.4,0.0,80.5,76.6,53.3,78.3,14.3
134.5,0.0,86.2,79.4,64.4,80.2,11.8
0.0,8.8,89.2,79.2,73.9,80.0,10.2
0.2,21.3,87.1,77.0,68.0,77.4,10.9
0.0,7.5,87.2,75.7,65.7,76.5,11.0
4.7,0.0,83.5,79.7,61.0,80.5,13.7
1.2,0.7,85.3,79.6,62.7,79.2,13.4
2.3,3.4,87.4,79.2,62.0,77.9,13.0
2.3,8.2,87.3,79.1,63.2,77.9,12.6
0.2,0.0,89.0,75.4,71.6,77.0,9.5
3.1,11.5,87.9,77.8,65.7,77.6,11.5
18.0,149.0,86.0,78.2,65.3,77.9,11.7
0.0,16.1,86.7,77.2,66.9,77.4,11.3
0.0,2.2,88.2,77.5,71.3,78.9,10.8
1.8,14.2,85.8,74.5,64.9,71.5,10.6
2.7,15.8,86.2,75.4,63.8,71.9,11.2
12.3,0.0,84.2,77.3,59.1,73.1,12.2
6.4,6.6,87.4,74.2,70.2,71.8,8.3
0.0,29.9,84.3,75.2,72.5,71.7,7.1
3.6,30.9,88.8,78.2,72.8,79.4,10.4
1.4,13.3,87.6,76.9,70.8,78.4,10.9
11.3,22.0,,,,,
0.0,7.0,,,,,
0.0,39.5,,,,,
3.5,54.6,,,,,
0.9,29.0,,,,,
0.0,24.7,85.8,78.4,65.2,78.6,12.8
0.0,498.5,88.7,82.1,69.9,81.3,12.1
0.0,56.6,87.8,77.8,69.2,76.6,10.8
0.0,7.1,85.8,78.1,61.1,76.5,13.1
0.0,11.4,92.2,82.4,73.7,80.6,11.0
69.3,0.0,86.9,78.7,65.8,76.9,12.2
2.1,0.0,86.8,79.5,61.9,77.0,13.9
0.0,19.6,88.0,76.5,69.9,76.3,10.5
0.0,57.1,87.9,76.0,70.3,76.0,10.3
9997.7,0.0,80.7,69.5,51.5,74.1,14.0
60.5,0.0,79.7,77.4,51.9,78.5,15.0
0.0,3.0,,,,,
2.2,8.0,,,,,
38.1,0.0,87.0,77.9,63.3,77.6,10.7
0.0,93.6,87.9,76.3,75.3,81.9,9.7
0.0,381.9,90.9,75.5,78.2,75.2,7.7
0.0,414.6,88.9,77.2,72.5,77.7,9.4
0.0,100.1,88.7,75.4,73.2,77.1,8.9
0.0,140.7,89.8,75.8,75.5,77.5,8.4
0.0,32.3,89.9,77.1,73.7,77.9,9.2
0.0,223.5,89.7,78.8,74.2,80.1,10.0
0.0,481.4,87.9,77.2,71.8,78.9,10.5
0.0,27.7,91.0,77.3,78.9,79.8,8.0
0.0,0.4,88.8,78.7,72.4,79.5,10.6
0.0,83.8,84.0,75.7,70.0,75.7,9.3
0.0,63.3,90.9,78.7,76.1,79.4,9.5
0.0,10.2,89.9,77.2,74.5,78.4,9.5
16.3,70.3,87.6,78.5,67.5,78.3,12.0
10.8,37.5,85.2,74.6,64.1,76.5,11.4
0.0,5.7,85.4,80.4,61.6,79.8,14.2
2.2,11.4,86.6,80.3,66.0,80.1,12.3
1.4,19.9,86.3,76.2,65.5,77.3,11.4
0.0,18.8,88.1,78.5,72.0,82.6,11.6
0.0,53.6,88.0,77.9,73.9,82.4,10.7
